"Nachname";"Vorname";"Alle Vornamen";"geburtsname";"geschlecht";"geburtsdatum";"geburtsort";"staatsangehörigkeit";"2. staatsang.";"konfession";"konfessionskuerzel";"drucke konfession";"konfessionsanmeldung";"konfessionsabmeldung";"geburtsland";"geburtsland vater";"geburtsland mutter";"verkehrssprache familie";"migrationshintergrund";"zuzugsjahr";"straße";"hausnummer";"hausnummernzusatz";"postleitzahl";"wohnort";"telefon";"mobil";"e-mail";"e-mail schule";"status";"klasse";"jahrgang";"anmeldedatum";"aufnahmedatum";"beginn bildungsgang";"dauer bildungsgang";"externe schulnummer";"beruf";"masernimpfnachweis";"keine auskunft an dritte";"schueler-basfoeg";"meister-bafoeg"
"Mahmoud";"Fadi";"Fadi";"";"m";"15.07.2013";"Latakia";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2019";"Gartenstraße";"13";"";"45127";"Essen";"";"0170 73672398";"f.mahmoud@privat.de";"f.mahmoud@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Friedrich";"Sebastian";"Sebastian";"";"m";"04.05.2013";"Essen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Wilhelmstraße";"131";"";"57074";"Siegen";"0241 309452";"0170 80215481";"s.friedrich@privat.de";"s.friedrich@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Vogel";"Katharina";"Katharina";"";"w";"22.01.2013";"Düsseldorf";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Nordstraße";"61";"";"51429";"Bergisch Gladbach";"0208 702042";"0173 30017834";"k.vogel@privat.de";"k.vogel@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Kravchenko";"Mykhailo";"Mykhailo";"";"m";"28.03.2013";"Kyiv";"UKR";"";"sonstige orthodoxe";"XO";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2023";"Niederstraße";"13";"";"47051";"Duisburg";"0234 940534";"0171 67176108";"m.kravchenko@privat.de";"m.kravchenko@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Schmidt";"Johannes";"Johannes";"";"m";"06.06.2014";"Essen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Bach";"24";"";"42853";"Remscheid";"0202 385037";"0172 74188958";"j.schmidt@privat.de";"j.schmidt@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Dąbrowski";"Kamil";"Kamil";"";"m";"22.10.2014";"Köln";"POL";"";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"";"Industriestraße";"152";"";"45127";"Essen";"0208 917012";"0171 92055138";"k.dabrowski@privat.de";"k.dabrowski@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Dang";"Trung";"Trung";"";"m";"23.01.2014";"Dortmund";"VNM";"";"ohne Bekenntnis";"OH";"nein";"";"";"VNM";"VNM";"VNM";"Vietnamesisch";"";"2012";"Schillerstraße";"67";"";"50668";"Köln";"0251 704660";"0175 40062746";"t.dang@privat.de";"t.dang@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Şen";"Suat";"Suat";"";"m";"21.01.2013";"Mersin";"TUR";"";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2012";"Hamburger Straße";"39";"";"58095";"Hagen";"0208 592085";"0173 32200132";"s.Sen@privat.de";"s.Sen@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Moroz";"Larysa";"Larysa";"";"w";"15.08.2006";"Mykolajiw";"UKR";"";"ohne Bekenntnis";"OH";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2022";"Bonner Straße";"61";"";"45468";"Mülheim";"0221 998198";"0173 70004467";"l.moroz@privat.de";"l.moroz@schule.de";"aktiv";"EF";"EF";"";"01.08.2021";"";"";"";"";"nein";"nein";"nein";"nein"
"Schneider";"Hannah";"Hannah";"";"w";"18.09.2007";"Wuppertal";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Kaiserstraße";"155";"";"44137";"Dortmund";"0202 457411";"0171 17284695";"h.schneider@privat.de";"h.schneider@schule.de";"aktiv";"EF";"EF";"";"01.08.2021";"";"";"";"";"ja";"nein";"nein";"nein"
"Bui";"Kim";"Kim";"";"w";"11.01.2006";"Da Nang";"VNM";"";"andere Religionen";"XR";"nein";"";"";"VNM";"VNM";"VNM";"Vietnamesisch";"";"2010";"Mozartstraße";"25";"";"42855";"Remscheid";"0212 406166";"0174 80059652";"k.bui@privat.de";"k.bui@schule.de";"aktiv";"EF";"EF";"";"01.08.2021";"";"";"";"";"nein";"nein";"nein";"nein"
"Bouazza";"Omar";"Omar";"";"m";"04.04.2006";"Latakia";"SYR";"";"syrisch-orthodox";"SO";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2016";"Am Markt";"157";"";"45127";"Essen";"0208 919378";"0179 55356673";"o.bouazza@privat.de";"o.bouazza@schule.de";"aktiv";"EF";"EF";"";"01.08.2021";"";"";"";"";"ja";"nein";"nein";"nein"
"Sydorenko";"Taras";"Taras";"";"m";"14.09.2005";"Mykolajiw";"UKR";"";"ohne Bekenntnis";"OH";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2023";"Hauptstraße";"136";"";"46238";"Bottrop";"0209 919023";"0178 87652255";"t.sydorenko@privat.de";"t.sydorenko@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"ja";"nein";"nein";"nein"
"Ibrahim";"Nabil";"Nabil";"";"m";"10.06.2006";"Latakia";"SYR";"";"syrisch-orthodox";"SO";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2019";"Nelkenstraße";"71";"";"57074";"Siegen";"0201 532794";"0175 78759020";"n.ibrahim@privat.de";"n.ibrahim@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"nein";"nein";"nein";"nein"
"Ngo";"Nhi";"Nhi";"";"w";"05.11.2006";"Dortmund";"VNM";"";"andere Religionen";"XR";"nein";"";"";"VNM";"VNM";"VNM";"Vietnamesisch";"";"2008";"Rathausstraße";"176";"";"33604";"Bielefeld";"0201 628370";"0174 95480242";"n.ngo@privat.de";"n.ngo@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"nein";"nein";"nein";"nein"
"Diab";"Zainab";"Zainab";"";"w";"13.01.2005";"Aleppo";"SYR";"";"ohne Bekenntnis";"OH";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2019";"Schulstraße";"134";"";"47441";"Moers";"";"0176 36830448";"z.diab@privat.de";"z.diab@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"nein";"nein";"nein";"nein"
"Savchenko";"Mykhailo";"Mykhailo";"";"m";"04.08.2006";"Lwiw";"UKR";"";"sonstige orthodoxe";"XO";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2022";"Ulmenstraße";"9";"";"33604";"Bielefeld";"0251 689179";"0179 96854901";"m.savchenko@privat.de";"m.savchenko@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"nein";"nein";"nein";"nein"
"Wagner";"Sophie";"Sophie";"";"w";"28.10.2005";"Oberhausen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Schulstraße";"65";"";"50672";"Köln";"0521 838857";"0171 88971743";"s.wagner1@privat.de";"s.wagner1@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"ja";"nein";"nein";"nein"
"Savchenko";"Oleg";"Oleg";"";"m";"02.07.2005";"Dnipro";"UKR";"";"sonstige orthodoxe";"XO";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2022";"Feldstraße";"132";"";"42285";"Wuppertal";"0231 236384";"0178 88381281";"o.savchenko@privat.de";"o.savchenko@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"nein";"nein";"nein";"nein"
"Hartmann";"Clara";"Clara";"";"w";"26.02.2006";"Bremen";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Ringweg";"147";"";"46045";"Oberhausen";"0203 292800";"0174 19150490";"c.hartmann@privat.de";"c.hartmann@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"ja";"nein";"nein";"nein"
"Yıldız";"Pınar";"Pınar";"";"w";"25.04.2006";"Antalya";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2012";"Nordstraße";"93";"";"53111";"Bonn";"0209 963699";"0176 25397719";"p.yildiz@privat.de";"p.yildiz@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"nein";"nein";"nein";"nein"
"Demir";"Tuncay";"Tuncay";"";"m";"17.01.2006";"Kayseri";"TUR";"DEU";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2015";"Am Markt";"139";"";"45470";"Mülheim";"0209 941814";"0174 69801634";"t.demir@privat.de";"t.demir@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"nein";"nein";"nein";"nein"
"Frank";"Henrik";"Henrik";"";"m";"14.11.2005";"Essen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Schillerstraße";"54";"";"44137";"Dortmund";"0208 836879";"0172 96779969";"h.frank@privat.de";"h.frank@schule.de";"aktiv";"Q1";"Q1";"";"01.08.2020";"";"";"";"";"ja";"nein";"nein";"nein"
"Al-Ahmad";"Amjad";"Amjad";"";"m";"03.09.2005";"Hama";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2015";"Bergstraße";"46";"";"40210";"Düsseldorf";"0231 527433";"0172 70549061";"a.alahmad@privat.de";"a.alahmad@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"nein";"nein";"nein";"nein"
"Solak";"Tuncay";"Tuncay";"";"m";"17.06.2004";"Ankara";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2017";"Tannenweg";"12";"";"50823";"Köln";"0521 415989";"0175 21610534";"t.solak@privat.de";"t.solak@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"nein";"nein";"nein";"nein"
"Rudenko";"Mariya";"Mariya";"";"w";"05.11.2005";"Odessa";"UKR";"";"ohne Bekenntnis";"OH";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2023";"Herderstraße";"101";"";"52062";"Aachen";"0212 864752";"0171 11496555";"m.rudenko@privat.de";"m.rudenko@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"ja";"nein";"nein";"nein"
"Reuter";"Fabian";"Fabian";"";"m";"06.03.2004";"Bielefeld";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Ahornstraße";"106";"";"58095";"Hagen";"0231 303765";"0177 34341456";"f.reuter@privat.de";"f.reuter@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"ja";"nein";"nein";"nein"
"Ly";"Nhi";"Nhi";"";"w";"19.12.2004";"Bochum";"VNM";"";"andere Religionen";"XR";"nein";"";"";"VNM";"VNM";"VNM";"Vietnamesisch";"";"2010";"Am Markt";"26";"";"50823";"Köln";"0234 234443";"0179 23427820";"n.ly@privat.de";"n.ly@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"nein";"nein";"nein";"nein"
"Dudek";"Damian";"Damian";"";"m";"14.06.2005";"Wrocław";"POL";"DEU";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2016";"Tannenweg";"40";"";"46047";"Oberhausen";"";"0179 39732676";"d.dudek@privat.de";"d.dudek@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"nein";"nein";"nein";"nein"
"Braun";"Gabi";"Gabi";"";"w";"04.09.2005";"Münster";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Viktoriastraße";"79";"";"42855";"Remscheid";"0221 982683";"0170 28790705";"g.braun@privat.de";"g.braun@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"ja";"nein";"nein";"nein"
"Koch";"Andreas";"Andreas";"";"m";"25.11.2005";"Bochum";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Eschenweg";"67";"";"50667";"Köln";"0203 909652";"0175 49057246";"a.koch@privat.de";"a.koch@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"ja";"nein";"nein";"nein"
"Yalçın";"Recep";"Recep";"";"m";"06.08.2004";"İzmir";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"";"Dorfstraße";"132";"";"52072";"Aachen";"0241 791444";"0178 74894729";"r.yalcin@privat.de";"r.yalcin@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"nein";"nein";"nein";"nein"
"Kaiser";"Emma";"Emma";"";"w";"16.07.2005";"Oberhausen";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Birkenweg";"133";"";"50668";"Köln";"0211 780027";"0171 23854626";"e.kaiser@privat.de";"e.kaiser@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"nein";"nein";"nein";"nein"
"Novikov";"Marina";"Marina";"";"w";"09.09.2004";"Jekaterinburg";"RUS";"";"ohne Bekenntnis";"OH";"nein";"";"";"RUS";"RUS";"RUS";"Russisch";"";"2015";"Frankfurter Straße";"151";"";"45468";"Mülheim";"0203 641455";"0172 57365168";"m.novikov@privat.de";"m.novikov@schule.de";"aktiv";"Q2";"Q2";"";"01.08.2019";"";"";"";"";"nein";"nein";"nein";"nein"
